"id","name","exit time(s)","active time(s)","jam time total(s)","jam time max continuous(s)","level jam time","stair jam time","ramp jam time","start time(s)","finish time(s)","distance (m)","num attractors used","attractor time(s)","num occ targets used","occ target time(s)","last_goal_started time(s)"
15,"00016",22.425,22.425,0.200,0.200,0.200,0.000,0.000,0.000,22.425,28.909,0,0.000,0,0.000,0.000
16,"00017",30.600,30.600,0.225,0.225,0.225,0.000,0.000,0.000,30.600,36.113,0,0.000,0,0.000,0.000
17,"00018",42.700,42.700,0.325,0.325,0.325,0.000,0.000,0.000,42.700,36.108,0,0.000,0,0.000,0.000
18,"00019",52.450,52.450,0.575,0.575,0.575,0.000,0.000,0.000,52.450,25.352,0,0.000,0,0.000,0.000
19,"00020",24.725,24.725,0.300,0.300,0.300,0.000,0.000,0.000,24.725,22.721,0,0.000,0,0.000,0.000
20,"00021",10.550,10.550,0.200,0.200,0.200,0.000,0.000,0.000,10.550,15.326,0,0.000,0,0.000,0.000
21,"00022",13.475,13.475,0.225,0.225,0.225,0.000,0.000,0.000,13.475,17.328,0,0.000,0,0.000,0.000
22,"00023",14.450,14.450,0.225,0.225,0.225,0.000,0.000,0.000,14.450,16.905,0,0.000,0,0.000,0.000
23,"00024",12.075,12.075,0.225,0.225,0.225,0.000,0.000,0.000,12.075,14.935,0,0.000,0,0.000,0.000
24,"00025",17.425,17.425,0.275,0.275,0.275,0.000,0.000,0.000,17.425,17.894,0,0.000,0,0.000,0.000
25,"00026",29.050,29.050,0.500,0.500,0.500,0.000,0.000,0.000,29.050,18.527,0,0.000,0,0.000,0.000
26,"00027",18.625,18.625,0.275,0.275,0.275,0.000,0.000,0.000,18.625,18.831,0,0.000,0,0.000,0.000
27,"00028",25.125,25.125,0.325,0.325,0.325,0.000,0.000,0.000,25.125,20.617,0,0.000,0,0.000,0.000
28,"00029",17.100,17.100,0.325,0.325,0.325,0.000,0.000,0.000,17.100,14.434,0,0.000,0,0.000,0.000
29,"00030",10.750,10.750,0.200,0.200,0.200,0.000,0.000,0.000,10.750,13.492,0,0.000,0,0.000,0.000
30,"00031",24.300,24.300,3.550,2.575,3.550,0.000,0.000,0.000,24.300,10.561,0,0.000,0,0.000,0.000
31,"00032",23.000,23.000,1.225,0.650,1.225,0.000,0.000,0.000,23.000,9.238,0,0.000,0,0.000,0.000
32,"00033",53.650,53.650,0.575,0.550,0.575,0.000,0.000,0.000,53.650,27.143,0,0.000,0,0.000,0.000
33,"00034",16.375,16.375,0.175,0.175,0.175,0.000,0.000,0.000,16.375,24.893,0,0.000,0,0.000,0.000
34,"00035",56.050,56.050,0.400,0.400,0.400,0.000,0.000,0.000,56.050,38.837,0,0.000,0,0.000,0.000
35,"00036",38.875,38.875,0.275,0.275,0.275,0.000,0.000,0.000,38.875,39.534,0,0.000,0,0.000,0.000
36,"00037",41.825,41.825,0.425,0.425,0.425,0.000,0.000,0.000,41.825,26.889,0,0.000,0,0.000,0.000
37,"00038",18.875,18.875,0.200,0.200,0.200,0.000,0.000,0.000,18.875,26.880,0,0.000,0,0.000,0.000
38,"00039",29.450,29.450,0.350,0.350,0.350,0.000,0.000,0.000,29.450,23.884,0,0.000,0,0.000,0.000
39,"00040",52.125,52.125,0.475,0.475,0.475,0.000,0.000,0.000,52.125,30.730,0,0.000,0,0.000,0.000
40,"00001",115.375,115.375,20.575,15.425,18.975,1.600,0.000,0.000,115.375,47.556,0,0.000,0,0.000,0.000
41,"00002",121.800,121.800,18.625,7.200,17.300,1.325,0.000,0.000,121.800,51.951,0,0.000,0,0.000,0.000
42,"00003",38.775,38.775,0.225,0.225,0.225,0.000,0.000,0.000,38.775,45.728,0,0.000,0,0.000,0.000
43,"00004",54.375,54.375,0.600,0.350,0.600,0.000,0.000,0.000,54.375,53.194,0,0.000,0,0.000,0.000
44,"00005",76.875,76.875,12.675,7.725,12.100,0.575,0.000,0.000,76.875,43.896,0,0.000,0,0.000,0.000
45,"00006",42.575,42.575,3.000,2.375,2.925,0.075,0.000,0.000,42.575,43.367,0,0.000,0,0.000,0.000
46,"00007",104.575,104.575,6.400,0.950,2.925,3.475,0.000,0.000,104.575,42.449,0,0.000,0,0.000,0.000
47,"00008",94.925,94.925,19.100,10.375,19.100,0.000,0.000,0.000,94.925,55.631,0,0.000,0,0.000,0.000
48,"00009",110.325,110.325,20.000,14.800,20.000,0.000,0.000,0.000,110.325,46.073,0,0.000,0,0.000,0.000
49,"00010",104.000,104.000,20.875,8.625,20.725,0.150,0.000,0.000,104.000,55.828,0,0.000,0,0.000,0.000
50,"00011",54.725,54.725,0.475,0.250,0.475,0.000,0.000,0.000,54.725,65.644,0,0.000,0,0.000,0.000
51,"00012",73.500,73.500,0.775,0.400,0.700,0.075,0.000,0.000,73.500,63.267,0,0.000,0,0.000,0.000
52,"00013",86.075,86.075,0.400,0.400,0.400,0.000,0.000,0.000,86.075,53.895,0,0.000,0,0.000,0.000
